date,ticker,weight
2026-01-29,NKE,0.045289716666666674
2026-01-29,SBUX,0.09057943333333335
2026-01-29,TGT,0.3623177333333334
2026-01-29,TSLA,0.3623177333333334
2026-01-30,CASH,0.0
2026-01-30,DIS,0.05
2026-01-30,NKE,0.05
2026-01-30,SBUX,0.1
2026-01-30,TGT,0.4
2026-01-30,TSLA,0.4
2026-02-02,CASH,0.0
2026-02-02,DIS,0.05
2026-02-02,NKE,0.05
2026-02-02,SBUX,0.1
2026-02-02,TGT,0.4
2026-02-02,TSLA,0.4
2026-02-03,CASH,0.0
2026-02-03,DIS,0.05
2026-02-03,NKE,0.05
2026-02-03,SBUX,0.1
2026-02-03,TGT,0.4
2026-02-03,TSLA,0.4
2026-02-04,CASH,0.0
2026-02-04,DIS,0.05
2026-02-04,NKE,0.05
2026-02-04,SBUX,0.1
2026-02-04,TGT,0.4
2026-02-04,TSLA,0.4
2026-02-05,CASH,0.0898852
2026-02-05,DIS,0.04550574
2026-02-05,NKE,0.04550574
2026-02-05,SBUX,0.09101148
2026-02-05,TGT,0.36404592
2026-02-05,TSLA,0.36404592
2026-02-06,CASH,0.0
2026-02-06,DIS,0.05
2026-02-06,NKE,0.05
2026-02-06,SBUX,0.1
2026-02-06,TGT,0.4
2026-02-06,TSLA,0.4
2026-02-09,CASH,0.0
2026-02-09,DIS,0.05
2026-02-09,NKE,0.05
2026-02-09,SBUX,0.1
2026-02-09,TGT,0.4
2026-02-09,TSLA,0.4
2026-02-10,CASH,0.19999999999999996
2026-02-10,DIS,0.04000000000000001
2026-02-10,NKE,0.04000000000000001
2026-02-10,SBUX,0.08000000000000002
2026-02-10,TGT,0.32000000000000006
2026-02-10,TSLA,0.32000000000000006
2026-02-11,CASH,0.19999999999999996
2026-02-11,DIS,0.04000000000000001
2026-02-11,NKE,0.04000000000000001
2026-02-11,SBUX,0.08000000000000002
2026-02-11,TGT,0.32000000000000006
2026-02-11,TSLA,0.32000000000000006
2026-02-12,CASH,0.0
2026-02-12,DIS,0.05
2026-02-12,NKE,0.05
2026-02-12,SBUX,0.1
2026-02-12,TGT,0.4
2026-02-12,TSLA,0.4
2026-02-13,CASH,0.09372866666666668
2026-02-13,DIS,0.045313566666666666
2026-02-13,NKE,0.045313566666666666
2026-02-13,SBUX,0.09062713333333333
2026-02-13,TGT,0.3625085333333333
2026-02-13,TSLA,0.3625085333333333
2026-02-17,CASH,0.0
2026-02-17,DIS,0.05
2026-02-17,NKE,0.05
2026-02-17,SBUX,0.1
2026-02-17,TGT,0.4
2026-02-17,TSLA,0.4
2026-02-18,CASH,0.0
2026-02-18,DIS,0.05
2026-02-18,NKE,0.05
2026-02-18,SBUX,0.1
2026-02-18,TGT,0.4
2026-02-18,TSLA,0.4
2026-02-19,CASH,0.0
2026-02-19,DIS,0.05
2026-02-19,NKE,0.05
2026-02-19,SBUX,0.1
2026-02-19,TGT,0.4
2026-02-19,TSLA,0.4
2026-02-20,CASH,0.0
2026-02-20,DIS,0.05
2026-02-20,NKE,0.05
2026-02-20,SBUX,0.1
2026-02-20,TGT,0.4
2026-02-20,TSLA,0.4
2026-02-23,CASH,0.0
2026-02-23,DIS,0.05
2026-02-23,NKE,0.05
2026-02-23,SBUX,0.1
2026-02-23,TGT,0.4
2026-02-23,TSLA,0.4
2026-02-24,CASH,0.024254200000000004
2026-02-24,DIS,0.048787290000000004
2026-02-24,NKE,0.048787290000000004
2026-02-24,SBUX,0.09757458000000001
2026-02-24,TGT,0.39029832000000003
2026-02-24,TSLA,0.39029832000000003
2026-02-25,CASH,0.0
2026-02-25,DIS,0.05
2026-02-25,NKE,0.05
2026-02-25,SBUX,0.1
2026-02-25,TGT,0.4
2026-02-25,TSLA,0.4
2026-02-26,CASH,0.0
2026-02-26,DIS,0.05
2026-02-26,NKE,0.05
2026-02-26,SBUX,0.4
2026-02-26,TGT,0.4
2026-02-26,TSLA,0.1
2026-02-27,CASH,0.18563679999999994
2026-02-27,DIS,0.04071816
2026-02-27,NKE,0.04071816
2026-02-27,SBUX,0.08143632
2026-02-27,TGT,0.32574528
2026-02-27,TSLA,0.32574528
2026-03-02,CASH,0.0
2026-03-02,DIS,0.05
2026-03-02,NKE,0.05
2026-03-02,SBUX,0.1
2026-03-02,TGT,0.4
2026-03-02,TSLA,0.4
2026-03-03,CASH,0.0
2026-03-03,DIS,0.05
2026-03-03,NKE,0.05
2026-03-03,SBUX,0.1
2026-03-03,TGT,0.4
2026-03-03,TSLA,0.4
2026-03-04,CASH,0.0
2026-03-04,DIS,0.05
2026-03-04,NKE,0.05
2026-03-04,SBUX,0.1
2026-03-04,TGT,0.4
2026-03-04,TSLA,0.4
2026-03-05,CASH,0.0
2026-03-05,DIS,0.05
2026-03-05,NKE,0.05
2026-03-05,SBUX,0.1
2026-03-05,TGT,0.4
2026-03-05,TSLA,0.4
2026-03-06,CASH,0.14417393333333328
2026-03-06,DIS,0.042791303333333336
2026-03-06,NKE,0.042791303333333336
2026-03-06,SBUX,0.08558260666666667
2026-03-06,TGT,0.3423304266666667
2026-03-06,TSLA,0.3423304266666667
2026-03-09,CASH,0.0
2026-03-09,DIS,0.05
2026-03-09,NKE,0.05
2026-03-09,SBUX,0.1
2026-03-09,TGT,0.4
2026-03-09,TSLA,0.4
2026-03-10,CASH,0.06105318143999994
2026-03-10,DIS,0.04694734092800001
2026-03-10,NKE,0.04694734092800001
2026-03-10,SBUX,0.15894491744583683
2026-03-10,TGT,0.37557872742400006
2026-03-10,TSLA,0.31052849183416326
2026-03-11,CASH,0.0
2026-03-11,DIS,0.05
2026-03-11,NKE,0.05
2026-03-11,SBUX,0.1
2026-03-11,TGT,0.4
2026-03-11,TSLA,0.4
2026-03-12,CASH,0.0
2026-03-12,DIS,0.05
2026-03-12,NKE,0.05
2026-03-12,SBUX,0.1
2026-03-12,TGT,0.4
2026-03-12,TSLA,0.4
2026-03-13,CASH,0.0
2026-03-13,DIS,0.05
2026-03-13,NKE,0.05
2026-03-13,SBUX,0.1
2026-03-13,TGT,0.4
2026-03-13,TSLA,0.4
2026-03-16,CASH,0.0
2026-03-16,DIS,0.05
2026-03-16,NKE,0.05
2026-03-16,SBUX,0.1
2026-03-16,TGT,0.4
2026-03-16,TSLA,0.4
2026-03-17,CASH,0.09209633333333334
2026-03-17,DIS,0.04539518333333334
2026-03-17,NKE,0.04539518333333334
2026-03-17,SBUX,0.09079036666666668
2026-03-17,TGT,0.3631614666666667
2026-03-17,TSLA,0.3631614666666667
2026-03-18,CASH,0.0
2026-03-18,DIS,0.05
2026-03-18,NKE,0.05
2026-03-18,SBUX,0.1
2026-03-18,TGT,0.4
2026-03-18,TSLA,0.4
2026-03-19,CASH,0.0
2026-03-19,DIS,0.05
2026-03-19,NKE,0.05
2026-03-19,SBUX,0.12816
2026-03-19,TGT,0.4
2026-03-19,TSLA,0.37184
2026-03-20,CASH,0.0
2026-03-20,DIS,0.05
2026-03-20,NKE,0.05
2026-03-20,SBUX,0.1
2026-03-20,TGT,0.4
2026-03-20,TSLA,0.4
2026-03-23,CASH,0.0
2026-03-23,DIS,0.05
2026-03-23,NKE,0.05
2026-03-23,SBUX,0.1
2026-03-23,TGT,0.4
2026-03-23,TSLA,0.4
2026-03-24,CASH,0.0
2026-03-24,DIS,0.05
2026-03-24,NKE,0.05
2026-03-24,SBUX,0.1
2026-03-24,TGT,0.4
2026-03-24,TSLA,0.4
2026-03-25,CASH,0.1918721333333333
2026-03-25,DIS,0.04040639333333334
2026-03-25,NKE,0.04040639333333334
2026-03-25,SBUX,0.08081278666666668
2026-03-25,TGT,0.3232511466666667
2026-03-25,TSLA,0.3232511466666667
2026-03-26,CASH,0.0
2026-03-26,DIS,0.05
2026-03-26,NKE,0.05
2026-03-26,SBUX,0.1
2026-03-26,TGT,0.4
2026-03-26,TSLA,0.4
2026-03-27,CASH,0.19999999999999996
2026-03-27,DIS,0.04000000000000001
2026-03-27,NKE,0.04000000000000001
2026-03-27,SBUX,0.08000000000000002
2026-03-27,TGT,0.32000000000000006
