date,ticker,mom_1m,mom_3m,momentum_score
2026-01-23,DIS,-0.012458,-0.011931,-0.841548
2026-01-23,SBUX,0.132877,0.150003,0.989256
2026-01-23,TSLA,-0.08117,0.022986,-1.042914
2026-01-26,NKE,0.133415,-0.061353,-0.064664
2026-01-26,TGT,0.102439,0.116928,0.792036
2026-01-26,DIS,-0.01687,-0.008554,-0.631622
2026-01-26,SBUX,0.1487,0.135603,1.169697
2026-01-26,TSLA,-0.103715,-0.030692,-1.265448
2026-01-27,NKE,0.0515,-0.081279,-0.509806
2026-01-27,TGT,0.078421,0.118313,0.89121
2026-01-27,DIS,-0.033805,-0.00288,-0.552518
2026-01-27,SBUX,0.131844,0.119892,1.231403
2026-01-27,TSLA,-0.112279,-0.006502,-1.060289
2026-01-28,NKE,0.0215,-0.086786,-0.515977
2026-01-28,TGT,0.021999,0.053722,0.487474
2026-01-28,DIS,-0.035224,-0.018148,-0.431192
2026-01-28,SBUX,0.118477,0.098916,1.495658
2026-01-28,TSLA,-0.092026,-0.046329,-1.035963
2026-01-29,NKE,0.022709,-0.065703,-0.381315
2026-01-29,TGT,0.048318,0.072354,0.692291
2026-01-29,DIS,-0.022857,0.006135,-0.208977
2026-01-29,SBUX,0.097113,0.10685,1.238663
2026-01-29,TSLA,-0.093726,-0.095516,-1.340662
2026-01-30,NKE,0.010132,-0.048131,-0.613013
2026-01-30,TGT,0.082521,0.134716,1.162094
2026-01-30,DIS,-0.017336,0.030145,-0.259653
2026-01-30,SBUX,0.078592,0.100324,0.895587
2026-01-30,TSLA,-0.052857,-0.067388,-1.185014
2026-02-02,NKE,-0.024015,-0.035794,-0.501083
2026-02-02,TGT,0.120512,0.193614,1.344721
2026-02-02,DIS,-0.08192,-0.059758,-0.905198
2026-02-02,SBUX,0.088826,0.110672,0.778899
2026-02-02,TSLA,-0.062061,-0.041559,-0.717339
2026-02-03,NKE,-0.037137,-0.050643,-0.616106
2026-02-03,TGT,0.107353,0.215519,1.212749
2026-02-03,DIS,-0.068216,-0.068326,-0.833275
2026-02-03,SBUX,0.108015,0.1588,0.963096
2026-02-03,TSLA,-0.036775,-0.075784,-0.726465
2026-02-04,NKE,-0.004804,0.031604,-0.199373
2026-02-04,TGT,0.117826,0.263735,1.127668
2026-02-04,DIS,-0.061541,-0.038759,-0.674814
2026-02-04,SBUX,0.120263,0.206405,0.922334
2026-02-04,TSLA,-0.101092,-0.133143,-1.175815
2026-02-05,NKE,-0.040551,0.030545,-0.269126
2026-02-05,TGT,0.0628,0.247469,1.096441
2026-02-05,DIS,-0.083792,-0.05194,-0.80519
